snapshot,action,TRANSACTION_ID,PORT,TRANSACTION_DATE,SETTLE_DATE,SEC,TRAN,SEC_TYPE,SRC_DEST_TYPE,SRC_DEST_SYMBOL,SPECIAL_SEC_TYPE,SPECIAL_SEC_SYMBOL,QTY,PRICE,AMOUNT,COMMISSION,QTY_delta,PRICE_delta,AMOUNT_delta,COMMISSION_delta,scenario
snapshot_b,adjust,ALPHA0203,,,,,,,,,,,,,,,0.0,0.0,-1500.0,0.0,Withdrawal correction increases external cash outflow.
snapshot_b,adjust,ALPHA0401,,,,,,,,,,,,,,,1.1372,0.15,-308.47,10.0,AAPL buy correction changes quantity price commission and amount.
snapshot_b,insert,ALPHA0503,ALPHA,2026-04-06,2026-04-07,JPM,dv,csus,$income,$cash,,,0.0,0.0,537.01,0.0,0.0,0.0,0.0,0.0,JPM dividend row uses a different same-day rate for Data Issues review.
snapshot_b,adjust,BALANCED0203,,,,,,,,,,,,,,,2.0,0.25,911.32,5.0,MSFT sell correction changes quantity price commission and amount.
snapshot_b,insert,BALANCED0403,BALANCED_CONTRIBUTION,2026-03-20,2026-03-20,CASHUSD,li,caus,$pty,$cash,,,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,Contribution restatement adds external cash inflow.
snapshot_b,insert,ALPHA0303,ALPHA,2026-02-17,2026-02-17,CASHUSD,lo,caus,$pty,$cash,,,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,0.0,Deliver-out restatement adds external cash outflow.
snapshot_b,insert,ALPHA0304,ALPHA,2026-02-10,2026-02-10,91282Y5Y1,pa,fius,$income,$cash,,,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,91282Y5Y1 purchase-accrued row uses a different same-day rate for Data Issues review.
snapshot_b,insert,BALANCED0603,BALANCED,2026-05-15,2026-05-15,TSLA,ss,csus,awus,none,,,50.0,422.24,21112.0,0.0,0.0,0.0,0.0,0.0,TSLA short sale uses real 2026-05-15 close price in a synthetic short-side demo.
snapshot_b,insert,BALANCED0604,BALANCED,2026-05-29,2026-05-29,TSLA,cs,csus,$pty,$cash,,,50.0,435.79,-21789.5,0.0,0.0,0.0,0.0,0.0,TSLA cover short uses real 2026-05-29 close price in a synthetic short-side demo.
snapshot_b,adjust,BALANCED0502,,,,,,,,,,,,,,,0.0,0.0,117.07,0.0,JPM dividend correction increases cash income.
snapshot_b,insert,BALANCED0503,BALANCED,2026-04-18,2026-04-18,JPM,rc,csus,$pty,$cash,return_of_capital,JPM,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,JPM return-of-capital row adds security-level cash income.
snapshot_b,insert,BALANCED0605,BALANCED,2026-05-12,2026-05-12,JPM,rc,csus,$pty,$cash,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,JPM code-only return-of-capital row remains neutral possible-cause evidence.
snapshot_b,adjust,INCOME0203,,,,,,,,,,,,,,,0.0,0.0,-50.0,0.0,Fee correction increases cash expense.
snapshot_b,adjust,INCOME0603,,,,,,,,,,,,,,,0.0,0.0,80.0,0.0,91282Y2Y1 interest correction increases cash income.
snapshot_b,insert,INCOME0605,INCOME,2026-05-18,2026-05-18,36225MBS1,pd,mbus,$pty,$cash,principal_paydown,36225MBS1,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,36225MBS1 principal paydown returns mortgage principal to cash.
snapshot_b,insert,INCOME0303,INCOME,2026-02-10,2026-02-10,91282Y5Y1,by,fius,$cash,CASHUSD,,,5.0,119.64,-598.2,0.0,0.0,0.0,0.0,0.0,91282Y5Y1 purchase leg paired with purchase accrued interest.
snapshot_b,insert,INCOME0304,INCOME,2026-02-10,2026-02-10,91282Y5Y1,pa,fius,$income,$cash,,,0.0,0.0,-42.5,0.0,0.0,0.0,0.0,0.0,91282Y5Y1 purchase accrued interest settlement.
snapshot_b,insert,INCOME0305,INCOME,2026-02-20,2026-02-20,91282Y5Y1,sl,fius,$cash,CASHUSD,,,3.0,120.02,360.06,0.0,0.0,0.0,0.0,0.0,91282Y5Y1 sale leg paired with sale accrued interest.
snapshot_b,insert,INCOME0306,INCOME,2026-02-20,2026-02-20,91282Y5Y1,sa,fius,$income,$cash,,,0.0,0.0,37.25,0.0,0.0,0.0,0.0,0.0,91282Y5Y1 sale accrued interest settlement.
snapshot_b,delete,INCOME0604,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL late dividend row is removed from corrected snapshot.
snapshot_b,insert,INCOME0606,INCOME,2026-05-14,2026-05-14,AAPL,dv,csus,$income,$cash,,,0.0,0.0,220.97,0.0,0.0,0.0,0.0,0.0,AAPL dividend corrected to real 2026-05-14 payable date.
