scenario_key,scenario_source,portfolio,from_date,thru_date,scenario_family,primary_security,current_expected_difference_rows,future_max_expected_differences,notes
transaction:ALPHA0203:Withdrawal correction increases external cash outflow.,transaction,ALPHA,2026-01-01,2026-01-30,external_cash_flow,CASHUSD,1,2,Current demo period contains one withdrawal correction.
holding:ALPHA:91282Y5Y1:2026-01-30:91282Y5Y1 holdings.accrued uses a different same-day rate for Data Audit review.,holding,ALPHA,2026-01-01,2026-01-30,x_ref_holdings_accrued_rate,91282Y5Y1,1,2,Snapshot B includes one same-day 91282Y5Y1 holdings.accrued-rate mismatch for Data Audit Issues.
transaction:ALPHA0303:Deliver-out restatement adds external cash outflow.,transaction,ALPHA,2026-01-31,2026-02-27,external_cash_flow,CASHUSD,1,1,Current demo period contains one deliver-out restatement.
transaction:ALPHA0304:91282Y5Y1 purchase-accrued row uses a different same-day rate for Data Audit review.,transaction,ALPHA,2026-01-31,2026-02-27,x_ref_pa_sa_rate,91282Y5Y1,1,2,Snapshot B includes one same-day 91282Y5Y1 pa-rate mismatch for Data Audit Issues.
transaction:ALPHA0401:AAPL buy correction changes quantity price commission and amount.,transaction,ALPHA,2026-04-01,2026-04-30,buy_correction,AAPL,1,1,Current demo period contains one buy correction.
transaction:ALPHA0503:JPM dividend row uses a different same-day rate for Data Audit review.,transaction,ALPHA,2026-04-01,2026-04-30,x_ref_dividend_rate,JPM,1,2,Snapshot B includes one same-day JPM dividend-rate mismatch for Data Audit Issues.
holding:ALPHA:AAPL:2026-05-29:AAPL price correction changes ending market value.,holding,ALPHA,2026-05-01,2026-05-29,valuation_mark,AAPL,1,1,Current demo period contains one AAPL valuation mark.
holding:ALPHA:CASHUSD:2026-05-29:Cash-balance correction increases ending cash.,holding,ALPHA,2026-05-01,2026-05-29,cash_balance_correction,CASHUSD,1,1,Current demo period contains one cash-balance correction.
transaction:BALANCED0203:MSFT sell correction changes quantity price commission and amount.,transaction,BALANCED,2026-01-01,2026-01-30,sell_correction,MSFT,1,1,Current demo period contains one sell correction.
transaction:BALANCED0403:Contribution restatement adds external cash inflow.,transaction,BALANCED,2026-02-28,2026-03-31,external_cash_flow,CASHUSD,1,1,Current demo period contains one contribution restatement.
transaction:BALANCED0502:JPM dividend correction increases cash income.,transaction,BALANCED,2026-04-01,2026-04-30,income_correction,JPM,1,1,Current demo period contains one dividend correction.
transaction:BALANCED0503:JPM return-of-capital row adds security-level cash income.,transaction,BALANCED,2026-04-01,2026-04-30,return_of_capital,JPM,1,1,Current demo period contains one return-of-capital row.
holding:BALANCED:AAPL:2026-05-08:AAPL price correction changes ending market value.,holding,BALANCED,2026-05-01,2026-05-08,valuation_mark,AAPL,1,1,Simplified demo period contains one AAPL valuation mark.
holding:BALANCED:CVNA:2026-05-08:CVNA 5-for-1 split correction changes ending quantity and market value.,holding,BALANCED,2026-05-01,2026-05-08,split_correction,CVNA,1,1,Simplified demo period contains one CVNA split correction.
holding:BALANCED:MSFT:2026-05-14:MSFT holding quantity correction changes market value.,holding,BALANCED,2026-05-09,2026-05-14,quantity_valuation_correction,MSFT,1,1,Simplified demo period contains one MSFT holding correction.
transaction:BALANCED0605:JPM code-only return-of-capital row remains neutral possible-cause evidence.,transaction,BALANCED,2026-05-09,2026-05-14,possible_cause_transaction,JPM,1,2,Simplified demo period contains one MSFT holding correction plus one neutral possible-cause transaction.
transaction:BALANCED0603:TSLA short sale uses real 2026-05-15 close price in a synthetic short-side demo.,transaction,BALANCED,2026-05-15,2026-05-29,short_side_trade,TSLA,1,2,Paired short-side demo period contains the short sale and cover.
transaction:BALANCED0604:TSLA cover short uses real 2026-05-29 close price in a synthetic short-side demo.,transaction,BALANCED,2026-05-15,2026-05-29,short_side_trade,TSLA,1,2,Paired short-side demo period contains the short sale and cover.
transaction:INCOME0203:Fee correction increases cash expense.,transaction,INCOME,2026-01-01,2026-01-30,fee_expense,CASHUSD,1,1,Current demo period contains one fee correction.
transaction:INCOME0303:91282Y5Y1 purchase leg paired with purchase accrued interest.,transaction,INCOME,2026-01-31,2026-02-13,fixed_income_accrual,91282Y5Y1,1,2,Paired fixed-income purchase story now uses its own intra-month period.
transaction:INCOME0304:91282Y5Y1 purchase accrued interest settlement.,transaction,INCOME,2026-01-31,2026-02-13,fixed_income_accrual,91282Y5Y1,1,2,Paired fixed-income purchase story now uses its own intra-month period.
transaction:INCOME0305:91282Y5Y1 sale leg paired with sale accrued interest.,transaction,INCOME,2026-02-14,2026-02-27,fixed_income_accrual,91282Y5Y1,1,2,Paired fixed-income sale story now uses its own intra-month period.
transaction:INCOME0306:91282Y5Y1 sale accrued interest settlement.,transaction,INCOME,2026-02-14,2026-02-27,fixed_income_accrual,91282Y5Y1,1,2,Paired fixed-income sale story now uses its own intra-month period.
holding:INCOME:91282Y5Y1:2026-04-30:91282Y5Y1 cost-only correction remains review evidence.,holding,INCOME,2026-04-01,2026-04-30,cost_only_context,91282Y5Y1,1,1,Current demo period contains one cost-only context row.
holding:INCOME:AAPL:2026-05-08:AAPL price correction changes ending market value.,holding,INCOME,2026-05-01,2026-05-08,valuation_mark,AAPL,1,1,Simplified demo period contains one AAPL valuation mark.
transaction:INCOME0606:AAPL dividend corrected to real 2026-05-14 payable date.,transaction,INCOME,2026-05-09,2026-05-14,missed_late_dividend,AAPL,1,1,Corrected Snapshot B AAPL dividend uses Apple 2026-05-14 payable date.
holding:INCOME:91282Y2Y1:2026-05-15:91282Y2Y1 interest and accrual correction changes ending holding.,holding,INCOME,2026-05-15,2026-05-15,accrual_correction,91282Y2Y1,1,1,Simplified demo period contains one 91282Y2Y1 holding correction.
transaction:INCOME0603:91282Y2Y1 interest correction increases cash income.,transaction,INCOME,2026-05-15,2026-05-15,income_correction,91282Y2Y1,1,1,Simplified demo period contains one interest correction.
transaction:INCOME0605:36225MBS1 principal paydown returns mortgage principal to cash.,transaction,INCOME,2026-05-16,2026-05-22,principal_paydown,36225MBS1,1,1,Simplified demo period contains one principal paydown row.
transaction:INCOME0604:AAPL late dividend row is removed from corrected snapshot.,transaction,INCOME,2026-05-23,2026-05-29,missed_late_dividend,AAPL,1,1,Snapshot A late AAPL dividend is removed from Snapshot B.
