scenario_key,protection_reason,economic_meaning,scenario_source,portfolio,source_from_date,source_thru_date,story_from_date,story_thru_date,scenario_family,primary_security,expected_report_disposition,expected_period_status,independent_change_id,source_period_independent_changes,carry_forward_status
transaction:ALPHA0203:Withdrawal correction increases external cash outflow.,Intentional demo scenario; removal requires explicit inventory review.,A withdrawal correction changes external cash flow and its Modified Dietz denominator.,transaction,ALPHA,2026-01-01,2026-01-30,2026-01-01,2026-01-30,external_cash_flow,CASHUSD,review_evidence,Fully Explained,alpha-jan-withdrawal,2,originating_change
holding:ALPHA:91282Y5Y1:2026-01-30:91282Y5Y1 holdings.accrued uses a different same-day rate for Data Issues review.,Intentional demo scenario; removal requires explicit inventory review.,A same-day accrued-interest rate mismatch is surfaced for Data Issues review.,holding,ALPHA,2026-01-01,2026-01-30,2026-01-01,2026-01-30,data_issues_holdings_accrued_rate,91282Y5Y1,data_issues_issue,Fully Explained,alpha-jan-accrued-rate-xref,2,originating_change
transaction:ALPHA0303:Deliver-out restatement adds external cash outflow.,Intentional demo scenario; removal requires explicit inventory review.,A deliver-out restatement adds an external cash outflow.,transaction,ALPHA,2026-01-31,2026-02-27,2026-01-31,2026-02-27,external_cash_flow,CASHUSD,counted_cause,Fully Explained,alpha-feb-deliver-out,2,originating_change
transaction:ALPHA0304:91282Y5Y1 purchase-accrued row uses a different same-day rate for Data Issues review.,Intentional demo scenario; removal requires explicit inventory review.,A purchase-accrued row has a same-day rate mismatch for Data Issues review.,transaction,ALPHA,2026-01-31,2026-02-27,2026-01-31,2026-02-27,data_issues_pa_sa_rate,91282Y5Y1,data_issues_issue,Fully Explained,alpha-feb-pa-rate-xref,2,originating_change
transaction:ALPHA0401:AAPL buy correction changes quantity price commission and amount.,Intentional demo scenario; removal requires explicit inventory review.,An AAPL buy correction changes the next period beginning value.,transaction,ALPHA,2026-02-28,2026-03-31,2026-04-01,2026-04-30,buy_correction,AAPL,counted_cause,Fully Explained,alpha-mar-aapl-buy,1,carry_forward_effect
transaction:ALPHA0503:JPM dividend correction leaves a different same-day rate for Data Issues review.,Intentional demo scenario; removal requires explicit inventory review.,A partial JPM dividend correction leaves a same-day rate mismatch for Data Issues review.,transaction,ALPHA,2026-04-01,2026-04-30,2026-04-01,2026-04-30,data_issues_dividend_rate,JPM,data_issues_issue,Fully Explained,alpha-apr-jpm-rate-xref,1,originating_change
holding:ALPHA:AAPL:2026-05-29:AAPL price correction changes ending market value.,Intentional demo scenario; removal requires explicit inventory review.,An AAPL price correction changes ending market value.,holding,ALPHA,2026-05-01,2026-05-29,2026-05-01,2026-05-29,valuation_mark,AAPL,counted_cause,Fully Explained,alpha-may-aapl-mark,2,originating_change
holding:ALPHA:CASHUSD:2026-05-29:Cash-balance correction increases ending cash.,Intentional demo scenario; removal requires explicit inventory review.,A cash-balance correction increases ending cash.,holding,ALPHA,2026-05-01,2026-05-29,2026-05-01,2026-05-29,cash_balance_correction,CASHUSD,counted_cause,Fully Explained,alpha-may-cash-correction,2,originating_change
transaction:BALANCED0203:MSFT sell correction changes quantity price commission and amount.,Intentional demo scenario; removal requires explicit inventory review.,An MSFT sell correction changes transaction and ending cash values.,transaction,BALANCED,2026-01-01,2026-01-30,2026-01-01,2026-01-30,sell_correction,MSFT,counted_cause,Fully Explained,balanced-jan-msft-sell,1,originating_change
transaction:BALANCED0403:Contribution restatement adds external cash inflow.,Intentional demo scenario; removal requires explicit inventory review.,A contribution restatement adds external cash inflow.,transaction,BALANCED_CONTRIBUTION,2026-03-01,2026-03-31,2026-03-01,2026-03-31,external_cash_flow,CASHUSD,counted_cause,Fully Explained,balanced-contribution-mar,1,originating_change
transaction:BALANCED0502:JPM dividend correction increases cash income.,Intentional demo scenario; removal requires explicit inventory review.,A JPM dividend correction increases USD cash income.,transaction,BALANCED,2026-04-01,2026-04-10,2026-04-01,2026-04-10,income_correction,JPM,counted_cause,Fully Explained,balanced-apr-jpm-dividend,1,originating_change
